配置字	UX情况	能力分类	一级能力	二级能力 	三级能力	单位	范围	前置条件	车型车系	别名	方法	参数	NAME	备注名称	协议制定情况	恢复动作能力	更新日期
	UX已出	空调	空调开关	开启					平台化	air	setSystemSwitchStatus	SWITCH_ON = 1	air.setSystemSwitchStatus		是	reSystemSwitch	
	UX已出	空调	空调开关	关闭					平台化	air	setSystemSwitchStatus	SWITCH_OFF = 0	air.setSystemSwitchStatus		是	reSystemSwitch	
	UX已出	空调	MAX AC / 极速降温	开启					平台化	air	setMaxAcSwitch	SWITCH_ON = 1	air.setMaxAcSwitch		是	reMaxAcSwitch	
	UX已出	空调	MAX AC / 极速降温	关闭					平台化	air	setMaxAcSwitch	SWITCH_OFF = 0	air.setMaxAcSwitch		是	reMaxAcSwitch	
	UX已出	空调	极速升温	开启					平台化	air	setHeatMaxSwitch	1	air.setHeatMaxSwitch				
	UX已出	空调	极速升温	关闭					平台化	air	setHeatMaxSwitch	0	air.setHeatMaxSwitch				
	UX已出	空调	内外循环	外循环					平台化	air	setRecirculationMode	AIR_CIRCULATION_OUTER = 2 	air.setRecirculationMode		是	reRecirculationMode	
	UX已出	空调	内外循环	内循环					平台化	air	setRecirculationMode	AIR_CIRCULATION_INNER = 1 	air.setRecirculationMode		是	reRecirculationMode	
	UX已出	空调	AUTO模式	开启					平台化	air	setAutoSwitchStatus	SWITCH_ON = 1	air.setAutoSwitchStatus		是	reAutoSwitchStatus	
	UX已出	空调	AUTO模式	关闭					平台化	air	setAutoSwitchStatus	SWITCH_OFF = 0	air.setAutoSwitchStatus		是	reAutoSwitchStatus	
	UX已出	空调	温度控制	主驾温度 / *step / 18-32 / 17.5-32.5 / 1 / 0.5		℃	*step / min-max / 步长值 / 手动输入值类型,step 数值步长类型		平台化	air	setAirTemperature	18-32 / 17.5-32.5	air.setAirTemperature		是	reAirTemperature	
	UX已出	空调	温度控制	主驾温度	*step / 18-32 / 	℃	*step / min-max / 步长值 / 手动输入值类型,step 数值步长类型		平台化	air	setDriverTemperature	float：18-32	air.setDriverTemperature				
	UX已出	空调	温度控制	副驾温度	*step / 18-32 / 	℃	*step / min-max / 步长值 / 手动输入值类型,step 数值步长类型		平台化	air	setPassengerTemperature	float：18-32	air.setPassengerTemperature				
	待定	舒适	左前门	*select / 关闭 / 开启					平台化	door	setDriverDoorSwitch	SWITCH_OFF = 0  / SWITCH_ON = 1 	door.setDriverDoorSwitch		是		
	待定	舒适	右前门	*select / 关闭 / 开启					平台化	door	setPassengerDoorSwitch	SWITCH_OFF = 0  / SWITCH_ON = 1 	door.setPassengerDoorSwitch		是		
	待定	舒适	左后门	*select / 关闭 / 开启					平台化	door	setBackLeftDoorSwitch	SWITCH_OFF = 0  / SWITCH_ON = 1 	door.setBackLeftDoorSwitch		是		
	待定	舒适	右后门	*select / 关闭 / 开启					平台化	door	setBackRightDoorSwitch	SWITCH_OFF = 0  / SWITCH_ON = 1 	door.setBackRightDoorSwitch		是		
	UX已出	空调	温区同步	开启					平台化	air	setIsSyncActiveStatus	SWITCH_ON = 1	api.setIsSyncActiveStatus		是	reIsSyncActiveStatus	
	UX已出	空调	温区同步	关闭					平台化	air	setIsSyncActiveStatus	SWITCH_OFF = 0	api.setIsSyncActiveStatus		是	reIsSyncActiveStatus	
	UX已出	空调	风量调节	前排风量 / 1档					平台化	air	setFanSpeedGlobal	SPEED_1 = 1 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 2档					平台化	air	setFanSpeedGlobal	SPEED_2 = 2 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 3档					平台化	air	setFanSpeedGlobal	SPEED_3 = 3 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 4档					平台化	air	setFanSpeedGlobal	SPEED_4 = 4 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 5档					平台化	air	setFanSpeedGlobal	SPEED_5 = 5 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 6档					平台化	air	setFanSpeedGlobal	SPEED_6 = 6 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 7档					平台化	air	setFanSpeedGlobal	SPEED_7 = 7 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	风量调节	前排风量 / 8档					平台化	air	setFanSpeedGlobal	SPEED_8 = 8 	air.setFanSpeedGlobal		是	reFanSpeedGlobal	
	UX已出	空调	出风模式	吹面					平台化	air	setFrontAirOutletMode	AIR_DISPLAY_MODE_FACE = 0 	air.setFrontAirOutletMode		是	reFrontAirOutletMode	
	UX已出	空调	出风模式	吹脚					平台化	air	setFrontAirOutletMode	AIR_DISPLAY_MODE_FOOT = 2 	air.setFrontAirOutletMode		是	reFrontAirOutletMode	
	UX已出	空调	出风模式	吹面吹脚					平台化	air	setFrontAirOutletMode	AIR_DISPLAY_MODE_FACE_FOOT = 1 	air.setFrontAirOutletMode		是	reFrontAirOutletMode	
