配置字	UX情况	能力分类	一级能力	二级能力	三级能力	单位	事件	事件名称	别名	方法	参数	逻辑关系	返回值	NAME	备注	协议定制	更新时间
	UX已出	门窗	主驾车窗	开启时			状态变化	DRIVER_WINDOW_OPEN_STATE_CHANGE	door	getDriveWindowOpenHeightOfPosition	null	等于	1	DRIVER_WINDOW_OPEN_STATE_CHANGE		是	
	UX已出	门窗	主驾车窗	关闭时			状态变化				null	等于	0			是	
	UX已出	门窗	副驾车窗	开启时			状态变化	PASSENGER_WINDOW_OPEN_STATE_CHANGE		getPassengerWindowOpenHeightOfPosition	null	等于	1	PASSENGER_WINDOW_OPEN_STATE_CHANGE		是	
	UX已出	门窗	副驾车窗	关闭时			状态变化				null	等于	0			是	
	UX已出	门窗	左后排车窗	开启时			状态变化	BACK_LEFT_OPEN_STATE_CHANGE		getBackLeftWindowOpenHeightOfPosition	null	等于	1	BACK_LEFT_OPEN_STATE_CHANGE		是	
	UX已出	门窗	左后排车窗	关闭时			状态变化				null	等于	0			是	
	UX已出	门窗	右后排车窗	开启时			状态变化	BACK_RIGHT_OPEN_STATE_CHANGE		getBackRightWindowOpenHeightOfPosition	null	等于	1	BACK_RIGHT_OPEN_STATE_CHANGE		是	
	UX已出	门窗	右后排车窗	关闭时			状态变化				null	等于	0			是	
	UX已出	门窗	任意车窗	开启时			状态变化	WINDOW_OPEN_STATE_CHANGE	door	getWindowState	1	等于	1	WINDOW_OPEN_STATE_CHANGE			2026-05-27 00:00:00
	UX已出	门窗	任意车窗	关闭时			状态变化		door		0	等于	0				2026-05-27 00:00:00
	UX已出	空调	空调开关	开启时			状态变化	AIR_SWITCH_CHANGE	air	getSystemSwitchStatus	null	等于	1	AIR_SWITCH_CHANGE		是	
	UX已出	空调	空调开关	关闭时			状态变化				null	等于	0			是	
	UX未出	空调	MAX AC / 极速降温	开启时			状态变化	MAX_AC_CHANGE		getMaxAcSwitch	null	等于	1	MAX_AC_CHANGE		是	
	UX未出	空调	MAX AC / 极速降温	关闭时			状态变化				null	等于	0			是	
	UX未出	空调	极速升温	开启			状态变化	HEAT_MAX_SWITCH_CHANGE	air	getHeatMaxSwitch	null	等于	1	HEAT_MAX_SWITCH_CHANGE			2026-05-28 00:00:00
	UX未出	空调	极速升温	关闭			状态变化				null	等于	0				2026-05-28 00:00:00
	UX已出	座椅	主驾座椅	有人入座时			状态变化	DRIVER_PERSON_CHANGE	seat	getDriverSts	null	等于	1	DRIVER_PERSON_CHANGE		是	
	UX已出	座椅	主驾座椅	有人离座时			状态变化				null	等于	0			是	
	UX已出	座椅	副驾座椅	有人入座时			状态变化	PASSENGER_PERSON_CHANGE		getPassengerSts	null	等于	1	PASSENGER_PERSON_CHANGE		是	
	UX已出	座椅	副驾座椅	有人离座时			状态变化				null	等于	0			是	
	UX已出	座椅	任意位置	有人入座时			状态变化	PERSON_CHANGE_YES	seat	getPersonState	1	等于	1	PERSON_CHANGE_YES			2026-05-27 00:00:00
	UX已出	座椅	任意位置	有人离座时			状态变化	PERSON_CHANGE_NO	seat	getPersonState	0	等于	0	PERSON_CHANGE_NO			2026-05-27 00:00:00
Y	UX已出	舒适	主驾座椅加热	开启加热时			状态变化	DRIVER_SEAT_HEATING_CHANGE		getDriverHeating	null	等于	1	DRIVER_SEAT_HEATING_CHANGE		是	
Y	UX已出	舒适	主驾座椅加热	关闭加热时			状态变化				null	等于	0			是	
Y	UX已出	舒适	副驾座椅加热	开启加热时			状态变化	PASSENGER_SEAT_HEATING_CHANGE		getPassengerHeating	null	等于	1	PASSENGER_SEAT_HEATING_CHANGE		是	
Y	UX已出	舒适	副驾座椅加热	关闭加热时			状态变化				null	等于	0			是	
Y	UX已出	舒适	主驾座椅通风	开启通风时			状态变化	DRIVER_SEAT_VENTILATING_CHANGE		getDriverVentilating	null	等于	1	DRIVER_SEAT_VENTILATING_CHANGE		是	
Y	UX已出	舒适	主驾座椅通风	关闭通风时			状态变化				null	等于	0			是	
