sprint		能力分类	一级能力	二级能力	三级能力	单位	范围	字段	参数		返回值	NAME																
sprint4		生效时间段	指定时间段	全天 / 00:00至23:59				startTime	00:00:00																			
sprint4		生效时间段	指定时间段	全天 / 00:00至23:59				endTime	23:59:00																			
sprint4		生效时间段	重复	每天				weekDays	[]																			
sprint4		生效时间段	重复	周末				weekDays	[6,7]																			
sprint4		生效时间段	重复	工作日				weekDays	[1,2,3,4,5]																			
sprint4		生效时间段	重复	自定义 / 周一至周日				weekDays	[1,2,5,7]																			
251013		生效时间段	重复	某几天 / 年月日-年月日				startDate	20250101																			
251013		生效时间段	重复	某几天 / 年月日-年月日				endDate	20250501																			
完成		生效时间段	指定日期	某一天 / 年月日																								
待定		生效时间段	生效频次	每次 / 每天一次 / 每周一次 / 仅一次			车云配置 / 海外暂无	frequency	1 / 2 / 3 / 4																			
